ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,btc_halving,btc_halving_lower,btc_halving_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,yhat_moving_avg_7,yhat_moving_avg_14,yhat_moving_avg_28,yhat_moving_avg_90
2022-01-07,47097.94517940919,13978.167549807948,77135.36222078305,47097.94517940919,47097.94517940919,0.0,0.0,0.0,0.0,0.0,0.0,-0.01953852493589178,-0.01953852493589178,-0.01953852493589178,-0.006030830227538004,-0.006030830227538004,-0.006030830227538004,-0.013507694708353777,-0.013507694708353777,-0.013507694708353777,0.0,0.0,0.0,46177.72080309204,,,,
2022-01-08,47021.172138021146,13176.683651760708,76325.40722411299,47021.172138021146,47021.172138021146,0.0,0.0,0.0,0.0,0.0,0.0,-0.015281714746235995,-0.015281714746235995,-0.015281714746235995,-0.0005869516942202363,-0.0005869516942202363,-0.0005869516942202363,-0.014694763052015761,-0.014694763052015761,-0.014694763052015761,0.0,0.0,0.0,46302.607998374246,,,,
2022-01-09,46944.39909663309,16134.357979291111,78831.72560222639,46944.39909663309,46944.39909663309,0.0,0.0,0.0,0.0,0.0,0.0,-0.004337020191581405,-0.004337020191581405,-0.004337020191581405,0.011606823199433488,0.011606823199433488,0.011606823199433488,-0.015943843391014893,-0.015943843391014893,-0.015943843391014893,0.0,0.0,0.0,46740.80028986934,,,,
2022-01-10,46867.62605524504,13710.175337737506,78059.04235545319,46867.62605524504,46867.62605524504,0.0,0.0,0.0,0.0,0.0,0.0,-0.017311299031481642,-0.017311299031481642,-0.017311299031481642,-1.925713153631936e-05,-1.925713153631936e-05,-1.925713153631936e-05,-0.01729204189994532,-0.01729204189994532,-0.01729204189994532,0.0,0.0,0.0,46056.286565707036,,,,
2022-01-11,46790.853013857,12001.374805069223,76549.00738265653,46790.853013857,46790.853013857,0.0,0.0,0.0,0.0,0.0,0.0,-0.019906781026510598,-0.019906781026510598,-0.019906781026510598,-0.0011293166241352834,-0.0011293166241352834,-0.0011293166241352834,-0.018777464402375314,-0.018777464402375314,-0.018777464402375314,0.0,0.0,0.0,45859.397748866504,,,,
2022-01-12,46714.079970459534,14681.558733781822,75995.11745921925,46714.079970459534,46714.079970459534,0.0,0.0,0.0,0.0,0.0,0.0,-0.025286991269668206,-0.025286991269668206,-0.025286991269668206,-0.004849221422011495,-0.004849221422011495,-0.004849221422011495,-0.02043776984765671,-0.02043776984765671,-0.02043776984765671,0.0,0.0,0.0,45532.821438075945,,,,
2022-01-13,46637.306927062076,14714.625062245406,78526.86508722053,46637.306927062076,46637.306927062076,0.0,0.0,0.0,0.0,0.0,0.0,-0.02129992374688057,-0.02129992374688057,-0.02129992374688057,0.0010087538999995582,0.0010087538999995582,0.0010087538999995582,-0.02230867764688013,-0.02230867764688013,-0.02230867764688013,0.0,0.0,0.0,45643.93584575579,46044.79581282013,,,
2022-01-14,46560.53388366463,14009.017692660536,78513.23788657218,46560.53388366463,46560.53388366463,0.0,0.0,0.0,0.0,0.0,0.0,-0.03045330940278216,-0.03045330940278216,-0.03045330940278216,-0.00603083022750289,-0.00603083022750289,-0.00603083022750289,-0.024422479175279267,-0.024422479175279267,-0.024422479175279267,0.0,0.0,0.0,45142.611539346675,45896.923060856505,,,
2022-01-15,46483.76084028106,14251.58821923584,76020.19325427368,46483.76084028106,46483.76084028106,0.0,0.0,0.0,0.0,0.0,0.0,-0.027393556249830964,-0.027393556249830964,-0.027393556249830964,-0.0005869516942176747,-0.0005869516942176747,-0.0005869516942176747,-0.02680660455561329,-0.02680660455561329,-0.02680660455561329,0.0,0.0,0.0,45210.405322999126,45740.894107231485,,,
2022-01-16,46406.9877968975,15473.822466083755,76013.17315767946,46406.9877968975,46406.9877968975,0.0,0.0,0.0,0.0,0.0,0.0,-0.017875471794716328,-0.017875471794716328,-0.017875471794716328,0.011606823199420203,0.011606823199420203,0.011606823199420203,-0.02948229499413653,-0.02948229499413653,-0.02948229499413653,0.0,0.0,0.0,45577.44099545631,45574.69992231533,,,
