Strategy,Return %,CAGR %,vs B&H %,Sharpe,Max DD %,Calmar,Win Rate %,Trades
Buy and Hold,85.79952966871403,34.62657796158881,-0.14999999999999458,0.8789519473309901,35.69679232210524,0.9700193129158639,0.0,1
Forecast Momentum,73.230711278867,30.175885176506444,-6.904573159920913,1.367554281976874,17.861806883917243,1.6894083209284267,100.0,2
Forecast-Based Strategy,71.78714809386577,29.654100873701527,-7.680354370343656,1.5921317105956614,17.861806883917243,1.660196029798198,50.0,4
Combined Strategy,53.66553304644452,22.899282910851994,-17.419040284733768,1.238922972288595,17.861806883917243,1.2820249966687576,100.0,2
Halving Cycle Strategy,0.0,0.0,-46.259282691384925,0.0,0.0,0.0,0.0,0
